lines,hour,minute,time,wednesday
03,06,31,0631,0
03,06,56,0656,0
03,07,08,0708,0
03,07,15,0715,0
03,07,21,0721,0
03,07,27,0727,0
03,07,33,0733,0
03,07,48,0748,0
03,07,55,0755,0
03,08,02,0802,0
03,08,09,0809,0
03,08,15,0815,0
03,08,22,0822,0
03,08,28,0828,0
03,08,35,0835,0
03,08,39,0835,0
03,08,43,0843,0
03,08,49,0849,0
03,08,55,0855,0
03,09,09,0909,0
03,09,23,0923,0
03,09,35,0935,0
03,09,50,0950,0
03,10,00,1000,0
03,10,10,1010,0
03,10,20,1020,0
03,10,30,1030,0
03,10,40,1040,0
03,10,50,1050,0
03,11,00,1100,0
03,11,10,1110,0
03,11,30,1130,0
03,11,50,1150,0
03,12,10,1210,0
03,12,20,1220,0
03,12,30,1230,0
03,12,50,1250,0
03,13,00,1300,0
03,13,10,1310,0
03,13,30,1330,0
03,13,50,1350,0
03,14,00,1400,0
03,14,10,1410,0
03,14,30,1430,0
03,14,40,1440,0
03,14,50,1450,0
03,15,10,1510,0
03,15,20,1520,0
03,15,30,1530,0
03,15,40,1540,0
03,15,50,1550,0
03,16,10,1610,0
03,16,20,1620,0
03,16,30,1630,0
03,16,50,1650,0
03,17,00,1700,0
03,17,10,1710,0
03,17,30,1730,0
03,17,50,1750,0
03,18,00,1800,0
03,18,10,1810,0
03,18,30,1830,0
03,18,40,1840,0
03,18,50,1850,0
03,19,08,1908,0
03,19,27,1927,0
03,19,47,1947,0
03,20,07,2007,0
03,20,33,2033,0
03,21,03,2103,0
03,21,42,2142,0
03,22,22,2222,0
40,07,18,0718,0
40,07,52,0752,0
40,08,23,0823,0
40,08,49,0849,0
40,09,14,0914,0
40,09,25,0925,0
40,09,42,0942,0
40,09,55,0955,0
40,10,08,1008,0
40,10,08,1008,0
40,10,20,1020,0
40,10,33,1033,0
40,10,47,1047,0
40,11,04,1104,0
40,11,17,1117,0
40,11,34,1134,0
40,11,47,1147,0
40,12,00,1200,0
40,12,10,1210,0
40,12,20,1220,0
40,12,25,1225,0
40,12,30,1230,0
40,12,35,1235,0
40,12,45,1245,0
40,12,55,1255,0
40,13,05,1305,0
40,13,25,1325,0
40,13,45,1345,0
40,14,05,1405,0
40,14,25,1425,0
40,14,40,1440,0
40,14,50,1450,0
40,14,55,1455,1
40,15,00,1500,0
40,15,02,1502,0
40,15,05,1505,0
40,15,20,1520,0
40,15,27,1527,1
40,15,40,1540,0
40,16,00,1600,0
40,16,15,1615,0
40,16,20,1620,1
40,16,25,1625,1
40,16,30,1630,0
40,16,35,1635,1
40,16,40,1640,0
40,16,44,1644,0
40,16,47,1647,1
40,16,51,1651,1
40,16,55,1655,0
40,17,00,1700,1
40,17,10,1710,0
40,17,14,1714,0
40,17,30,1730,0
40,17,44,1744,0
40,17,52,1752,0
40,17,59,1759,0
40,18,10,1810,0
40,18,15,1815,1
40,18,20,1820,0
40,18,29,1829,0
40,18,35,1835,0
40,18,40,1840,1
40,18,44,1844,0
40,18,51,1851,0
40,18,59,1859,0
40,19,18,1918,0
40,19,36,1936,0
40,19,48,1948,0
40,19,58,1958,0
40,20,13,2013,0
40,20,25,2025,0
40,20,36,2036,0
40,20,59,2059,0
40,21,19,2119,0
40,21,39,2139,0
40,22,09,2209,0
40,22,39,2239,0
